1	1	0	11	0.7666666666666667	0.975
1	1	1	16	0.6533333333333333	0.9416666666666667
1	1	2	25	0.6966666666666667	0.98
1	0	0	7	0.9116666666666666	1.0
1	0	1	7	0.9883333333333333	1.0
1	0	2	7	0.59	1.0
0	1	0	8	0.11833333333333333	0.11833333333333333
0	1	1	22	0.5133333333333333	0.5133333333333333
0	1	2	9	0.215	0.215
1	1	0	35	0.685	0.9116666666666666
1	1	1	17	0.985	1.0
1	1	2	11	0.765	1.0
1	0	0	7	0.5316666666666666	1.0
1	0	1	8	0.9383333333333334	1.0
1	0	2	7	0.93	1.0
0	1	0	9	0.14666666666666667	0.14666666666666667
0	1	1	9	0.435	0.435
0	1	2	9	0.08166666666666667	0.08166666666666667
1	1	0	24	0.93	0.9916666666666667
1	1	1	17	0.5933333333333334	0.6233333333333333
1	1	2	7	0.9733333333333334	1.0
1	0	0	9	0.49333333333333335	1.0
1	0	1	8	0.825	1.0
1	0	2	7	0.5716666666666667	1.0
0	1	0	10	0.235	0.235
0	1	1	15	0.35	0.35
0	1	2	9	0.09666666666666666	0.09666666666666666
1	1	0	30	0.24166666666666667	0.7733333333333333
1	1	1	28	0.15666666666666668	0.7466666666666667
1	1	2	17	0.99	0.9966666666666667
1	0	0	7	0.9833333333333333	1.0
1	0	1	8	0.795	1.0
1	0	2	9	0.9966666666666667	1.0
0	1	0	12	0.28833333333333333	0.28833333333333333
0	1	1	8	0.43333333333333335	0.43333333333333335
0	1	2	13	0.23833333333333334	0.23833333333333334
1	1	0	12	0.7016666666666667	0.48333333333333334
1	1	1	13	0.39166666666666666	1.0
1	1	2	29	0.43666666666666665	0.9883333333333333
1	0	0	7	0.98	1.0
1	0	1	8	0.7583333333333333	1.0
1	0	2	8	0.7116666666666667	1.0
